DATE,MKTGDPITA646NWDB
1960-01-01,40385288344.1911
1961-01-01,44842760293.1924
1962-01-01,50383891898.9911
1963-01-01,57710743059.8341
1964-01-01,63175417019.0094
1965-01-01,67978153850.5191
1966-01-01,73654870011.2757
1967-01-01,81133120065.4202
1968-01-01,87942231678.3505
1969-01-01,97085082807.3751
1970-01-01,113395315675.341
1971-01-01,124672367041.199
1972-01-01,145260039508.632
1973-01-01,175492057123.879
1974-01-01,199564490324.501
1975-01-01,227695850533.808
1976-01-01,224717279134.683
1977-01-01,257596312925.17
1978-01-01,315058323522.701
1979-01-01,393677160801.678
1980-01-01,477256776396.111
1981-01-01,430702851303.015
1982-01-01,427272645239.8
1983-01-01,443042373916.369
1984-01-01,437887688781.133
1985-01-01,452217491937.937
1986-01-01,640386352123.652
1987-01-01,805713128772.035
1988-01-01,891608957601.904
1989-01-01,928661332486.593
1990-01-01,1181222652714.93
1991-01-01,1246220155454.97
1992-01-01,1320161645718.77
1993-01-01,1064958075919.77
1994-01-01,1099216688640.73
1995-01-01,1174662070605.02
1996-01-01,1312426527795.21
1997-01-01,1241879604365.62
1998-01-01,1270052525928.4
1999-01-01,1252023758789.69
2000-01-01,1143829832319.88
2001-01-01,1167012796420.58
2002-01-01,1270712309429.7
2003-01-01,1574145823927.77
2004-01-01,1803226967966.23
2005-01-01,1857524312896.41
2006-01-01,1947919708944.93
2007-01-01,2210292636189.43
2008-01-01,2398856598798.89
2009-01-01,2191241872742.43
2010-01-01,2134017843247.16
2011-01-01,2291991045770.29
2012-01-01,2087077032435.15
2013-01-01,2141315327318.21
2014-01-01,2159133919743.77
2015-01-01,1835899237320.04
2016-01-01,1875797463583.87
2017-01-01,1961796197354.36
2018-01-01,2085764300862.27
2019-01-01,2001244392041.57
2020-01-01,1848222000000.00
